timepoint,jstime,valence,arousal,video
0,1907750,5.0,5.0,8
50,1907800,5.0,5.0,8
100,1907850,5.0,5.0,8
150,1907900,5.0,5.0,8
200,1907950,5.0,5.0,8
250,1908000,5.0,5.0,8
300,1908050,5.0,5.0,8
350,1908100,5.0,5.0,8
400,1908150,5.0,5.0,8
450,1908200,5.0,5.0,8
500,1908250,5.0,5.0,8
550,1908300,5.0,5.0,8
600,1908350,5.0,5.0,8
650,1908400,5.0,5.0,8
700,1908450,5.0,5.0,8
750,1908500,5.0,5.0,8
800,1908550,5.0,5.0,8
850,1908600,5.0,5.0,8
900,1908650,5.0,5.0,8
950,1908700,5.0,5.0,8
1000,1908750,5.0,5.0,8
1050,1908800,5.0,5.0,8
1100,1908850,5.0,5.0,8
1150,1908900,5.0,5.0,8
1200,1908950,5.0,5.0,8
1250,1909000,5.0,5.0,8
1300,1909050,5.0,5.0,8
1350,1909100,5.0,5.0,8
1400,1909150,5.0,5.0,8
1450,1909200,5.0,5.0,8
1500,1909250,5.0,5.0,8
1550,1909300,5.0,5.0,8
1600,1909350,5.0,5.0,8
1650,1909400,5.0,5.0,8
1700,1909450,5.0,5.0,8
1750,1909500,5.0,5.0,8
1800,1909550,5.0,5.0,8
1850,1909600,5.0,5.0,8
1900,1909650,5.0,5.0,8
1950,1909700,5.0,5.0,8
2000,1909750,5.0,5.0,8
2050,1909800,5.0,5.0,8
2100,1909850,5.0,5.0,8
2150,1909900,5.0,5.0,8
2200,1909950,5.0,5.0,8
2250,1910000,5.0,5.0,8
2300,1910050,5.0,5.0,8
2350,1910100,5.0,5.0,8
2400,1910150,5.0,5.0,8
2450,1910200,5.0,5.0,8
2500,1910250,5.0,5.0,8
2550,1910300,5.0,5.0,8
2600,1910350,5.0,5.0,8
2650,1910400,5.0,5.0,8
2700,1910450,5.0,5.0,8
2750,1910500,5.0,5.0,8
2800,1910550,5.0,5.0,8
2850,1910600,5.0,5.0,8
2900,1910650,5.0,5.0,8
2950,1910700,5.0,5.0,8
3000,1910750,5.0,5.0,8
3050,1910800,5.0,5.0,8
3100,1910850,5.0,5.0,8
3150,1910900,5.0,5.0,8
3200,1910950,5.0,5.0,8
3250,1911000,5.0,5.0,8
3300,1911050,5.0,5.0,8
3350,1911100,5.0,5.0,8
3400,1911150,5.0,5.0,8
3450,1911200,5.0,5.0,8
3500,1911250,5.0,5.0,8
3550,1911300,5.0,5.0,8
3600,1911350,5.0,5.0,8
3650,1911400,5.0,5.0,8
3700,1911450,5.0,5.0,8
3750,1911500,5.0,5.0,8
3800,1911550,5.0,5.0,8
3850,1911600,5.0,5.0,8
3900,1911650,5.0,5.0,8
3950,1911700,5.0,5.0,8
4000,1911750,5.0,5.0,8
4050,1911800,5.0,5.0,8
4100,1911850,5.0,5.0,8
4150,1911900,5.0,5.0,8
4200,1911950,5.0,5.0,8
4250,1912000,5.0,5.0,8
4300,1912050,5.0,5.0,8
4350,1912100,5.0,5.0,8
4400,1912150,5.0,5.0,8
4450,1912200,5.0,5.0,8
4500,1912250,5.0,5.0,8
4550,1912300,5.0,5.0,8
4600,1912350,5.0,5.0,8
4650,1912400,5.0,5.0,8
4700,1912450,5.0,5.0,8
4750,1912500,5.0,5.0,8
4800,1912550,5.0,5.0,8
4850,1912600,5.0,5.0,8
4900,1912650,5.0,5.0,8
4950,1912700,5.0,5.0,8
5000,1912750,5.0,5.0,8
5050,1912800,5.0,5.0,8
5100,1912850,5.0,5.0,8
5150,1912900,5.0,5.0,8
5200,1912950,5.0,5.0,8
5250,1913000,5.0,5.0,8
5300,1913050,5.0,5.0,8
5350,1913100,5.0,5.0,8
5400,1913150,5.0,5.0,8
5450,1913200,5.0,5.0,8
5500,1913250,5.0,5.0,8
5550,1913300,5.0,5.0,8
5600,1913350,5.0,5.0,8
5650,1913400,5.0,5.0,8
5700,1913450,5.0,5.0,8
5750,1913500,5.0,5.0,8
5800,1913550,5.0,5.0,8
5850,1913600,5.0,5.0,8
5900,1913650,5.0,5.0,8
5950,1913700,5.0,5.0,8
6000,1913750,5.0,5.0,8
6050,1913800,5.0,5.0,8
6100,1913850,5.0,5.0,8
6150,1913900,5.0,5.0,8
6200,1913950,5.0,5.0,8
6250,1914000,5.0,5.0,8
6300,1914050,5.0,5.0,8
6350,1914100,5.0,5.0,8
6400,1914150,5.0,5.0,8
6450,1914200,5.0,5.0,8
6500,1914250,5.0,5.0,8
6550,1914300,5.0,5.0,8
6600,1914350,5.0,5.0,8
6650,1914400,5.0,5.0,8
6700,1914450,5.0,5.0,8
6750,1914500,5.0,5.0,8
6800,1914550,5.0,5.0,8
6850,1914600,5.0,5.0,8
6900,1914650,5.0,5.0,8
6950,1914700,5.0,5.0,8
7000,1914750,5.0,5.0,8
7050,1914800,5.0,5.0,8
7100,1914850,5.0,5.0,8
7150,1914900,5.0,5.0,8
7200,1914950,5.0,5.0,8
7250,1915000,5.0,5.0,8
7300,1915050,5.0,5.0,8
7350,1915100,5.0,5.0,8
7400,1915150,5.0,5.0,8
7450,1915200,5.0,5.0,8
7500,1915250,5.0,5.0,8
7550,1915300,5.0,5.0,8
7600,1915350,5.0,5.0,8
7650,1915400,5.0,5.0,8
7700,1915450,5.0,5.0,8
7750,1915500,5.0,5.0,8
7800,1915550,5.0,5.0,8
7850,1915600,5.0,5.0,8
7900,1915650,5.0,5.0,8
7950,1915700,5.0,5.0,8
8000,1915750,5.0,5.0,8
8050,1915800,5.0,5.0,8
8100,1915850,5.0,5.0,8
8150,1915900,5.0,5.0,8
8200,1915950,5.0,5.0,8
8250,1916000,5.0,5.0,8
8300,1916050,5.0,5.0,8
8350,1916100,5.0,5.0,8
8400,1916150,5.0,5.0,8
8450,1916200,5.0,5.0,8
8500,1916250,5.0,5.0,8
8550,1916300,5.0,5.0,8
8600,1916350,5.0,5.0,8
8650,1916400,5.0,5.0,8
8700,1916450,5.0,5.0,8
8750,1916500,5.0,5.0,8
8800,1916550,5.0,5.0,8
8850,1916600,5.0,5.0,8
8900,1916650,5.0,5.0,8
8950,1916700,5.0,5.0,8
9000,1916750,5.0,5.0,8
9050,1916800,5.0,5.0,8
9100,1916850,5.0,5.0,8
9150,1916900,5.0,5.0,8
9200,1916950,5.0,5.0,8
9250,1917000,5.0,5.0,8
9300,1917050,5.0,5.0,8
9350,1917100,5.0,5.0,8
9400,1917150,5.0,5.0,8
9450,1917200,5.0,5.0,8
9500,1917250,5.0,5.0,8
9550,1917300,5.0,5.0,8
9600,1917350,5.0,5.0,8
9650,1917400,5.0,5.0,8
9700,1917450,5.0,5.0,8
9750,1917500,5.0,5.0,8
9800,1917550,5.0,5.0,8
9850,1917600,5.0,5.0,8
9900,1917650,5.0,5.0,8
