timepoint,jstime,valence,arousal,video
47800,1955550,4.085,6.807,8
47850,1955600,4.085,6.807,8
47900,1955650,4.085,6.807,8
47950,1955700,4.085,6.807,8
48000,1955750,4.085,6.807,8
48050,1955800,4.085,6.807,8
48100,1955850,4.085,6.807,8
48150,1955900,4.085,6.807,8
48200,1955950,4.085,6.807,8
48250,1956000,4.085,6.807,8
48300,1956050,4.085,6.807,8
48350,1956100,4.085,6.807,8
48400,1956150,4.085,6.807,8
48450,1956200,4.088,6.805,8
48500,1956250,4.088,6.804,8
48550,1956300,4.088,6.804,8
48600,1956350,4.088,6.804,8
48650,1956400,4.09,6.804,8
48700,1956450,4.09,6.804,8
48750,1956500,4.094,6.804,8
48800,1956550,4.094,6.804,8
48850,1956600,4.094,6.804,8
48900,1956650,4.094,6.804,8
48950,1956700,4.094,6.804,8
49000,1956750,4.094,6.804,8
49050,1956800,4.094,6.804,8
49100,1956850,4.094,6.804,8
49150,1956900,4.094,6.804,8
49200,1956950,4.094,6.804,8
49250,1957000,4.094,6.804,8
49300,1957050,4.094,6.804,8
49350,1957100,4.094,6.804,8
49400,1957150,4.094,6.804,8
49450,1957200,4.094,6.804,8
49500,1957250,4.094,6.804,8
49550,1957300,4.094,6.792,8
49600,1957350,4.094,6.791,8
49650,1957400,4.094,6.791,8
49700,1957450,4.094,6.791,8
49750,1957500,4.094,6.791,8
49800,1957550,4.094,6.791,8
49850,1957600,4.094,6.791,8
49900,1957650,4.094,6.791,8
49950,1957700,4.094,6.791,8
50000,1957750,4.094,6.791,8
50050,1957800,4.094,6.79,8
50100,1957850,4.094,6.788,8
50150,1957900,4.094,6.788,8
50200,1957950,4.094,6.785,8
50250,1958000,4.094,6.78,8
50300,1958050,4.094,6.78,8
50350,1958100,4.094,6.78,8
50400,1958150,4.098,6.78,8
50450,1958200,4.103,6.78,8
50500,1958250,4.108,6.78,8
50550,1958300,4.108,6.78,8
50600,1958350,4.108,6.775,8
50650,1958400,4.11,6.77,8
50700,1958450,4.11,6.77,8
50750,1958500,4.112,6.769,8
50800,1958550,4.116,6.769,8
50850,1958600,4.117,6.769,8
50900,1958650,4.117,6.769,8
50950,1958700,4.117,6.769,8
51000,1958750,4.117,6.769,8
51050,1958800,4.117,6.769,8
51100,1958850,4.117,6.769,8
51150,1958900,4.117,6.769,8
51200,1958950,4.117,6.769,8
51250,1959000,4.117,6.769,8
51300,1959050,4.117,6.769,8
51350,1959100,4.117,6.769,8
51400,1959150,4.117,6.769,8
51450,1959200,4.117,6.769,8
51500,1959250,4.117,6.769,8
51550,1959300,4.117,6.769,8
51600,1959350,4.117,6.769,8
51650,1959400,4.117,6.769,8
51700,1959450,4.117,6.769,8
51750,1959500,4.117,6.769,8
51800,1959550,4.117,6.769,8
51850,1959600,4.117,6.769,8
51900,1959650,4.117,6.769,8
51950,1959700,4.117,6.769,8
52000,1959750,4.118,6.769,8
52050,1959800,4.118,6.769,8
52100,1959850,4.118,6.769,8
52150,1959900,4.118,6.769,8
52200,1959950,4.118,6.769,8
52250,1960000,4.118,6.769,8
52300,1960050,4.118,6.769,8
52350,1960100,4.118,6.769,8
52400,1960150,4.118,6.769,8
52450,1960200,4.121,6.769,8
52500,1960250,4.134,6.769,8
52550,1960300,4.134,6.769,8
52600,1960350,4.134,6.769,8
52650,1960400,4.135,6.769,8
52700,1960450,4.135,6.769,8
52750,1960500,4.135,6.769,8
52800,1960550,4.137,6.769,8
52850,1960600,4.141,6.769,8
52900,1960650,4.141,6.769,8
52950,1960700,4.141,6.769,8
53000,1960750,4.141,6.769,8
53050,1960800,4.142,6.769,8
53100,1960850,4.142,6.769,8
53150,1960900,4.142,6.769,8
53200,1960950,4.142,6.769,8
53250,1961000,4.142,6.769,8
53300,1961050,4.142,6.769,8
53350,1961100,4.142,6.769,8
53400,1961150,4.142,6.769,8
53450,1961200,4.142,6.769,8
53500,1961250,4.142,6.769,8
53550,1961300,4.142,6.769,8
53600,1961350,4.142,6.769,8
53650,1961400,4.142,6.769,8
53700,1961450,4.142,6.769,8
53750,1961500,4.142,6.769,8
53800,1961550,4.142,6.769,8
53850,1961600,4.142,6.769,8
53900,1961650,4.142,6.769,8
53950,1961700,4.142,6.769,8
54000,1961750,4.142,6.769,8
54050,1961800,4.142,6.769,8
54100,1961850,4.142,6.769,8
54150,1961900,4.142,6.769,8
54200,1961950,4.142,6.769,8
54250,1962000,4.142,6.769,8
54300,1962050,4.142,6.769,8
54350,1962100,4.142,6.769,8
54400,1962150,4.142,6.769,8
54450,1962200,4.142,6.769,8
54500,1962250,4.142,6.769,8
54550,1962300,4.142,6.769,8
54600,1962350,4.142,6.769,8
54650,1962400,4.142,6.769,8
54700,1962450,4.142,6.769,8
54750,1962500,4.142,6.769,8
54800,1962550,4.142,6.769,8
54850,1962600,4.142,6.769,8
54900,1962650,4.142,6.769,8
54950,1962700,4.142,6.769,8
55000,1962750,4.142,6.769,8
55050,1962800,4.142,6.769,8
55100,1962850,4.142,6.769,8
55150,1962900,4.142,6.769,8
55200,1962950,4.142,6.769,8
55250,1963000,4.142,6.769,8
55300,1963050,4.142,6.769,8
55350,1963100,4.142,6.769,8
55400,1963150,4.142,6.769,8
55450,1963200,4.142,6.769,8
55500,1963250,4.142,6.769,8
55550,1963300,4.142,6.769,8
55600,1963350,4.142,6.769,8
55650,1963400,4.142,6.769,8
55700,1963450,4.142,6.769,8
