timepoint,jstime,valence,arousal,video
50150,2184750,1.559,8.688,7
50200,2184800,1.576,8.68,7
50250,2184850,1.587,8.675,7
50300,2184900,1.593,8.672,7
50350,2184950,1.595,8.663,7
50400,2185000,1.595,8.657,7
50450,2185050,1.6,8.657,7
50500,2185100,1.605,8.654,7
50550,2185150,1.609,8.649,7
50600,2185200,1.614,8.646,7
50650,2185250,1.614,8.643,7
50700,2185300,1.615,8.639,7
50750,2185350,1.618,8.635,7
50800,2185400,1.621,8.633,7
50850,2185450,1.623,8.63,7
50900,2185500,1.626,8.626,7
50950,2185550,1.629,8.623,7
51000,2185600,1.63,8.622,7
51050,2185650,1.633,8.62,7
51100,2185700,1.639,8.614,7
51150,2185750,1.643,8.606,7
51200,2185800,1.645,8.602,7
51250,2185850,1.649,8.598,7
51300,2185900,1.656,8.596,7
51350,2185950,1.658,8.593,7
51400,2186000,1.658,8.591,7
51450,2186050,1.66,8.59,7
51500,2186100,1.663,8.589,7
51550,2186150,1.665,8.588,7
51600,2186200,1.667,8.586,7
51650,2186250,1.668,8.586,7
51700,2186300,1.668,8.586,7
51750,2186350,1.668,8.586,7
51800,2186400,1.668,8.585,7
51850,2186450,1.668,8.584,7
51900,2186500,1.668,8.584,7
51950,2186550,1.668,8.584,7
52000,2186600,1.668,8.584,7
52050,2186650,1.668,8.584,7
52100,2186700,1.668,8.584,7
52150,2186750,1.668,8.584,7
52200,2186800,1.668,8.584,7
52250,2186850,1.668,8.584,7
52300,2186900,1.668,8.584,7
52350,2186950,1.668,8.584,7
52400,2187000,1.668,8.584,7
52450,2187050,1.668,8.584,7
52500,2187100,1.668,8.584,7
52550,2187150,1.668,8.584,7
52600,2187200,1.668,8.584,7
52650,2187250,1.668,8.584,7
52700,2187300,1.668,8.584,7
52750,2187350,1.668,8.584,7
52800,2187400,1.671,8.584,7
52850,2187450,1.672,8.584,7
52900,2187500,1.672,8.584,7
52950,2187550,1.672,8.584,7
53000,2187600,1.672,8.584,7
53050,2187650,1.672,8.584,7
53100,2187700,1.672,8.584,7
53150,2187750,1.672,8.584,7
53200,2187800,1.672,8.584,7
53250,2187850,1.672,8.584,7
53300,2187900,1.672,8.582,7
53350,2187950,1.673,8.579,7
53400,2188000,1.673,8.578,7
53450,2188050,1.675,8.573,7
53500,2188100,1.676,8.568,7
53550,2188150,1.685,8.56,7
53600,2188200,1.696,8.549,7
53650,2188250,1.705,8.545,7
53700,2188300,1.711,8.545,7
53750,2188350,1.711,8.544,7
53800,2188400,1.712,8.542,7
53850,2188450,1.712,8.541,7
53900,2188500,1.714,8.539,7
53950,2188550,1.716,8.536,7
54000,2188600,1.716,8.532,7
54050,2188650,1.719,8.529,7
54100,2188700,1.723,8.527,7
54150,2188750,1.725,8.523,7
54200,2188800,1.73,8.513,7
54250,2188850,1.735,8.502,7
54300,2188900,1.738,8.498,7
54350,2188950,1.741,8.494,7
54400,2189000,1.746,8.49,7
54450,2189050,1.75,8.488,7
54500,2189100,1.753,8.485,7
54550,2189150,1.755,8.478,7
54600,2189200,1.757,8.472,7
54650,2189250,1.76,8.467,7
54700,2189300,1.762,8.463,7
54750,2189350,1.762,8.463,7
54800,2189400,1.762,8.463,7
54850,2189450,1.762,8.463,7
54900,2189500,1.762,8.463,7
54950,2189550,1.763,8.463,7
55000,2189600,1.764,8.463,7
55050,2189650,1.764,8.463,7
55100,2189700,1.764,8.463,7
55150,2189750,1.764,8.463,7
55200,2189800,1.764,8.463,7
55250,2189850,1.764,8.463,7
55300,2189900,1.764,8.463,7
55350,2189950,1.764,8.463,7
55400,2190000,1.764,8.463,7
55450,2190050,1.764,8.463,7
55500,2190100,1.764,8.463,7
55550,2190150,1.764,8.462,7
55600,2190200,1.764,8.461,7
55650,2190250,1.764,8.461,7
55700,2190300,1.764,8.461,7
55750,2190350,1.764,8.46,7
55800,2190400,1.764,8.459,7
55850,2190450,1.764,8.459,7
55900,2190500,1.765,8.459,7
55950,2190550,1.765,8.459,7
56000,2190600,1.765,8.459,7
56050,2190650,1.766,8.459,7
56100,2190700,1.767,8.459,7
56150,2190750,1.767,8.459,7
56200,2190800,1.767,8.459,7
56250,2190850,1.767,8.459,7
56300,2190900,1.767,8.458,7
56350,2190950,1.767,8.458,7
56400,2191000,1.767,8.458,7
56450,2191050,1.767,8.458,7
56500,2191100,1.768,8.458,7
56550,2191150,1.769,8.458,7
