,Interl. Dur.,Interl. Vid. Count,Interl. Low Ar.,Ratio,Low Ar. vid. bfr 2nd,Low Ar. time bfr 2nd
Max HR 1st,-0.1250376294690847,-0.11155110309316887,0.0019815109797517525,0.04507232209836522,-0.07166318559617908,-0.0793709914957079
Min HR 1st,0.15618110774618957,0.15249804954145874,0.054788641686266334,0.00980868348928887,0.025076838352490156,0.0270848799003726
HR 1st Dist.,-0.14597811355390522,-0.1372315515215071,-0.028133950508133648,0.017471251669929955,-0.049404172773380134,-0.054351479019334965
Max HR 1st Time,-0.21097478460151772,-0.21154868256935958,-0.19572733105752194,-0.1834430720556028,0.03714216469122276,0.036767436993530925
Max HR 2nd,-0.05686726565843668,-0.03202857454086298,0.1734444044509838,0.24764762682820246,0.1453859901470864,0.1350590269839703
Min HR 2nd,0.15297830409677332,0.12142869952354274,-0.07679548095684118,-0.15294391886206055,-0.2017219632404319,-0.19019529301973107
HR 2nd Dist.,-0.10686872024368758,-0.07757484391640528,0.1338155085299341,0.21240487916376172,0.17987012587222695,0.1684748212685581
Max HR 2nd Time,-0.058290170905949575,-0.05681754219367624,-0.03063418920416462,-0.051850480676538524,0.2548832428180264,0.26794330111975084
Diff. HR,0.031165825785720313,0.045669139273809646,0.16429939054223125,0.20571175602509548,0.187846599693917,0.18325272971731354
Diff. HR Time,0.11484415860943878,0.11647502039460188,0.12549294838152178,0.09891397043619476,0.17750432515679537,0.18834818746143875
Max GSR 1st,0.027739784209233936,0.03533169029948257,0.13451440329271086,0.17058436209869104,0.26813339842559886,0.2707011056074228
Max GSR 1st Time,0.029536944784644654,0.023262023232657504,-0.059217065595864725,-0.10586820971207328,-0.06714548336970289,-0.06490424778281575
Max GSR 2nd,0.07877419194952416,0.09781489608000708,0.2476240156005338,0.3008464078025238,0.30697177123849834,0.30533275715414177
Max GSR 2nd Time,0.17203615886088705,0.1548034506346811,0.1151399662826234,0.11710175971809292,0.0706438187442107,0.0866110989077165
Diff. GSR,0.10181106622193106,0.1247832980943159,0.23271484095804085,0.2695211473339139,0.10138300669634669,0.09346051931544766
Diff. GSR Time,0.09378758632048548,0.08714821061903925,0.12839387414955142,0.16850263233068374,0.10437625753321074,0.11349659004235962
