,jstime,valence,arousal,video
15316,765800,5.005,4.493,7
15317,765850,5.005,4.493,7
15318,765900,5.005,4.493,7
15319,765950,5.005,4.493,7
15320,766000,5.005,4.493,7
15321,766050,5.005,4.495,7
15322,766100,5.005,4.498,7
15323,766150,5.005,4.498,7
15324,766200,5.005,4.498,7
15325,766250,5.005,4.498,7
15326,766300,5.005,4.498,7
15327,766350,5.005,4.498,7
15328,766400,5.005,4.498,7
15329,766450,5.005,4.498,7
15330,766500,5.005,4.498,7
15331,766550,5.005,4.498,7
15332,766600,5.005,4.498,7
15333,766650,5.005,4.499,7
15334,766700,5.005,4.504,7
15335,766750,5.005,4.511,7
15336,766800,5.005,4.517,7
15337,766850,5.005,4.523,7
15338,766900,5.005,4.529,7
15339,766950,5.005,4.537,7
15340,767000,5.005,4.544,7
15341,767050,5.005,4.553,7
15342,767100,5.005,4.562,7
15343,767150,5.005,4.568,7
15344,767200,5.005,4.575,7
15345,767250,5.005,4.582,7
15346,767300,5.005,4.59,7
15347,767350,5.005,4.592,7
15348,767400,5.005,4.598,7
15349,767450,5.005,4.605,7
15350,767500,5.005,4.609,7
15351,767550,5.005,4.611,7
15352,767600,5.005,4.615,7
15353,767650,5.005,4.62,7
15354,767700,5.005,4.627,7
15355,767750,5.005,4.631,7
15356,767800,5.005,4.633,7
15357,767850,5.005,4.635,7
15358,767900,5.005,4.64,7
15359,767950,5.005,4.644,7
15360,768000,5.005,4.648,7
15361,768050,5.005,4.651,7
15362,768100,5.005,4.653,7
15363,768150,5.005,4.655,7
15364,768200,5.005,4.656,7
15365,768250,5.005,4.659,7
15366,768300,5.005,4.664,7
15367,768350,5.005,4.665,7
15368,768400,5.005,4.669,7
15369,768450,5.005,4.676,7
15370,768500,5.005,4.685,7
15371,768550,5.005,4.692,7
15372,768600,5.005,4.694,7
15373,768650,5.005,4.695,7
15374,768700,5.005,4.701,7
15375,768750,5.005,4.707,7
15376,768800,5.003,4.714,7
15377,768850,5.0,4.726,7
15378,768900,5.0,4.732,7
15379,768950,5.0,4.742,7
15380,769000,5.0,4.752,7
15381,769050,5.0,4.76,7
15382,769100,5.0,4.761,7
15383,769150,5.0,4.769,7
15384,769200,5.0,4.777,7
15385,769250,5.0,4.781,7
15386,769300,5.0,4.786,7
15387,769350,5.0,4.791,7
15388,769400,5.0,4.8,7
15389,769450,5.0,4.812,7
15390,769500,5.0,4.837,7
15391,769550,5.0,4.862,7
15392,769600,5.0,4.878,7
15393,769650,5.0,4.89,7
15394,769700,5.0,4.898,7
15395,769750,5.0,4.916,7
15396,769800,5.0,4.937,7
15397,769850,5.0,4.964,7
15398,769900,5.0,4.993,7
15399,769950,5.0,5.0,7
15400,770000,5.0,5.0,7
15401,770050,5.0,5.0,7
15402,770100,5.0,5.0,7
15403,770150,5.0,5.0,7
15404,770200,5.0,5.0,7
15405,770250,5.0,5.0,7
15406,770300,5.0,5.0,7
15407,770350,5.0,5.0,7
15408,770400,5.0,5.0,7
15409,770450,5.0,5.0,7
15410,770500,5.0,5.0,7
15411,770550,5.0,5.0,7
15412,770600,5.0,5.0,7
15413,770650,5.0,5.0,7
15414,770700,5.0,5.0,7
15415,770750,5.0,5.0,7
15416,770800,5.0,5.0,7
15417,770850,5.0,5.0,7
15418,770900,5.0,5.0,7
15419,770950,5.0,5.0,7
15420,771000,5.0,5.0,7
15421,771050,5.0,5.0,7
15422,771100,5.0,5.0,7
15423,771150,5.0,5.0,7
15424,771200,5.0,5.0,7
15425,771250,5.0,5.0,7
15426,771300,5.0,5.0,7
15427,771350,5.0,5.0,7
15428,771400,5.0,5.0,7
15429,771450,5.0,5.0,7
15430,771500,5.0,5.0,7
15431,771550,5.0,5.0,7
15432,771600,5.0,5.0,7
15433,771650,5.0,5.0,7
15434,771700,5.0,5.0,7
15435,771750,5.0,5.0,7
15436,771800,5.0,5.0,7
15437,771850,5.0,5.0,7
15438,771900,5.0,5.0,7
15439,771950,5.0,5.0,7
15440,772000,5.0,5.0,7
15441,772050,5.0,5.0,7
15442,772100,5.0,5.0,7
15443,772150,5.0,5.0,7
15444,772200,5.0,5.0,7
15445,772250,5.0,5.0,7
15446,772300,5.0,5.0,7
15447,772350,5.0,5.0,7
15448,772400,5.0,5.0,7
15449,772450,5.0,5.0,7
15450,772500,5.0,5.0,7
15451,772550,5.0,5.0,7
15452,772600,5.0,5.002,7
15453,772650,5.0,5.007,7
15454,772700,5.0,5.016,7
15455,772750,5.0,5.024,7
15456,772800,5.0,5.027,7
15457,772850,5.0,5.031,7
15458,772900,5.0,5.036,7
15459,772950,5.0,5.037,7
15460,773000,5.0,5.038,7
15461,773050,5.0,5.039,7
15462,773100,5.0,5.042,7
15463,773150,5.0,5.045,7
15464,773200,5.0,5.045,7
15465,773250,5.0,5.046,7
15466,773300,5.0,5.046,7
15467,773350,5.0,5.046,7
15468,773400,5.0,5.046,7
15469,773450,5.0,5.046,7
15470,773500,5.0,5.046,7
15471,773550,5.0,5.046,7
15472,773600,5.0,5.046,7
15473,773650,5.0,5.046,7
15474,773700,5.0,5.046,7
15475,773750,5.0,5.046,7
15476,773800,5.0,5.046,7
15477,773850,5.0,5.046,7
15478,773900,5.0,5.046,7
15479,773950,5.0,5.046,7
15480,774000,5.0,5.046,7
15481,774050,5.0,5.046,7
15482,774100,5.0,5.046,7
15483,774150,5.0,5.046,7
15484,774200,5.0,5.046,7
15485,774250,5.0,5.046,7
15486,774300,5.0,5.046,7
15487,774350,5.0,5.046,7
15488,774400,5.0,5.046,7
15489,774450,5.0,5.046,7
15490,774500,5.0,5.046,7
15491,774550,5.0,5.046,7
15492,774600,5.0,5.046,7
15493,774650,5.0,5.046,7
15494,774700,5.0,5.046,7
15495,774750,5.0,5.046,7
15496,774800,5.0,5.046,7
15497,774850,5.0,5.046,7
15498,774900,5.0,5.046,7
15499,774950,5.0,5.046,7
15500,775000,5.0,5.046,7
15501,775050,5.0,5.046,7
15502,775100,5.0,5.046,7
15503,775150,5.0,5.046,7
15504,775200,5.0,5.046,7
15505,775250,5.0,5.046,7
15506,775300,5.0,5.046,7
15507,775350,5.0,5.046,7
15508,775400,5.0,5.046,7
15509,775450,5.0,5.046,7
15510,775500,5.0,5.046,7
15511,775550,5.0,5.046,7
15512,775600,5.0,5.043,7
15513,775650,5.0,5.034,7
15514,775700,5.0,5.022,7
15515,775750,5.0,5.01,7
15516,775800,5.0,5.005,7
15517,775850,5.0,5.001,7
15518,775900,5.0,5.0,7
15519,775950,5.0,5.0,7
15520,776000,5.0,5.0,7
15521,776050,5.0,5.0,7
15522,776100,5.0,5.0,7
15523,776150,5.0,5.0,7
15524,776200,5.0,5.0,7
15525,776250,5.0,5.0,7
15526,776300,5.0,5.0,7
15527,776350,5.0,5.0,7
15528,776400,5.0,5.0,7
15529,776450,5.0,5.0,7
15530,776500,5.0,5.0,7
15531,776550,5.0,5.0,7
15532,776600,5.0,5.0,7
15533,776650,5.0,5.0,7
15534,776700,5.0,5.0,7
15535,776750,5.0,5.0,7
15536,776800,5.0,5.0,7
15537,776850,5.0,5.0,7
15538,776900,5.0,5.0,7
15539,776950,5.0,5.0,7
15540,777000,5.0,5.0,7
15541,777050,5.0,5.0,7
15542,777100,5.0,5.0,7
15543,777150,5.0,5.0,7
15544,777200,5.0,5.0,7
15545,777250,5.0,5.0,7
15546,777300,5.0,5.0,7
15547,777350,5.0,5.0,7
15548,777400,5.0,5.0,7
15549,777450,5.0,5.0,7
15550,777500,5.0,5.0,7
15551,777550,5.0,5.007,7
15552,777600,5.0,5.028,7
15553,777650,5.0,5.062,7
15554,777700,5.0,5.098,7
15555,777750,5.0,5.111,7
15556,777800,5.0,5.124,7
15557,777850,5.0,5.146,7
15558,777900,5.0,5.156,7
15559,777950,5.0,5.159,7
15560,778000,5.0,5.171,7
15561,778050,5.0,5.183,7
15562,778100,5.0,5.187,7
15563,778150,5.0,5.187,7
15564,778200,5.0,5.187,7
15565,778250,5.0,5.19,7
15566,778300,5.0,5.197,7
15567,778350,5.0,5.201,7
15568,778400,5.0,5.21,7
15569,778450,5.0,5.219,7
15570,778500,5.0,5.222,7
15571,778550,5.0,5.224,7
15572,778600,5.0,5.229,7
15573,778650,5.0,5.229,7
15574,778700,5.0,5.234,7
15575,778750,5.0,5.243,7
15576,778800,5.0,5.249,7
15577,778850,5.0,5.257,7
15578,778900,5.0,5.262,7
15579,778950,4.972,5.265,7
15580,779000,4.927,5.27,7
15581,779050,4.927,5.274,7
15582,779100,4.927,5.279,7
15583,779150,4.927,5.284,7
15584,779200,4.927,5.285,7
15585,779250,4.927,5.287,7
15586,779300,4.927,5.29,7
15587,779350,4.927,5.294,7
15588,779400,4.927,5.295,7
15589,779450,4.927,5.297,7
15590,779500,4.927,5.299,7
15591,779550,4.927,5.302,7
15592,779600,4.927,5.303,7
15593,779650,4.927,5.305,7
15594,779700,4.927,5.31,7
15595,779750,4.927,5.314,7
15596,779800,4.927,5.315,7
15597,779850,4.927,5.319,7
15598,779900,4.927,5.322,7
15599,779950,4.927,5.323,7
15600,780000,4.927,5.324,7
15601,780050,4.927,5.328,7
15602,780100,4.927,5.333,7
15603,780150,4.927,5.338,7
15604,780200,4.927,5.343,7
15605,780250,4.927,5.347,7
15606,780300,4.927,5.353,7
15607,780350,4.927,5.357,7
15608,780400,4.927,5.362,7
15609,780450,4.927,5.369,7
15610,780500,4.927,5.369,7
15611,780550,4.927,5.375,7
15612,780600,4.927,5.386,7
15613,780650,4.927,5.388,7
15614,780700,4.927,5.395,7
15615,780750,4.927,5.404,7
15616,780800,4.927,5.41,7
15617,780850,4.927,5.418,7
15618,780900,4.927,5.425,7
15619,780950,4.927,5.427,7
15620,781000,4.927,5.432,7
15621,781050,4.927,5.432,7
15622,781100,4.927,5.433,7
15623,781150,4.927,5.434,7
15624,781200,4.927,5.437,7
15625,781250,4.927,5.44,7
15626,781300,4.927,5.444,7
15627,781350,4.927,5.446,7
15628,781400,4.927,5.448,7
15629,781450,4.927,5.448,7
15630,781500,4.927,5.448,7
15631,781550,4.927,5.448,7
15632,781600,4.927,5.448,7
15633,781650,4.927,5.451,7
15634,781700,4.926,5.458,7
15635,781750,4.922,5.462,7
15636,781800,4.918,5.462,7
15637,781850,4.914,5.464,7
15638,781900,4.913,5.466,7
15639,781950,4.909,5.469,7
15640,782000,4.905,5.474,7
15641,782050,4.904,5.48,7
15642,782100,4.9,5.492,7
15643,782150,4.896,5.505,7
15644,782200,4.896,5.515,7
15645,782250,4.896,5.525,7
15646,782300,4.896,5.534,7
15647,782350,4.896,5.537,7
15648,782400,4.896,5.541,7
15649,782450,4.896,5.543,7
15650,782500,4.896,5.543,7
15651,782550,4.896,5.544,7
15652,782600,4.896,5.546,7
15653,782650,4.896,5.546,7
15654,782700,4.896,5.546,7
15655,782750,4.896,5.546,7
15656,782800,4.896,5.546,7
15657,782850,4.896,5.546,7
15658,782900,4.896,5.546,7
15659,782950,4.896,5.546,7
15660,783000,4.896,5.546,7
15661,783050,4.896,5.547,7
15662,783100,4.896,5.55,7
15663,783150,4.896,5.551,7
15664,783200,4.896,5.554,7
15665,783250,4.896,5.555,7
15666,783300,4.896,5.557,7
15667,783350,4.896,5.561,7
15668,783400,4.896,5.561,7
15669,783450,4.896,5.561,7
15670,783500,4.896,5.561,7
15671,783550,4.896,5.561,7
15672,783600,4.896,5.561,7
15673,783650,4.896,5.561,7
15674,783700,4.896,5.561,7
15675,783750,4.896,5.561,7
15676,783800,4.896,5.561,7
15677,783850,4.896,5.561,7
15678,783900,4.896,5.561,7
15679,783950,4.896,5.561,7
15680,784000,4.896,5.561,7
15681,784050,4.896,5.561,7
15682,784100,4.896,5.561,7
15683,784150,4.896,5.561,7
15684,784200,4.896,5.561,7
15685,784250,4.896,5.561,7
15686,784300,4.896,5.561,7
15687,784350,4.896,5.561,7
15688,784400,4.896,5.561,7
15689,784450,4.896,5.561,7
15690,784500,4.896,5.561,7
15691,784550,4.896,5.561,7
15692,784600,4.896,5.561,7
15693,784650,4.896,5.561,7
15694,784700,4.896,5.561,7
15695,784750,4.896,5.561,7
15696,784800,4.896,5.561,7
15697,784850,4.896,5.561,7
15698,784900,4.896,5.561,7
15699,784950,4.896,5.561,7
15700,785000,4.896,5.561,7
15701,785050,4.896,5.561,7
15702,785100,4.896,5.561,7
15703,785150,4.896,5.561,7
15704,785200,4.896,5.561,7
15705,785250,4.896,5.561,7
