timepoint,jstime,valence,arousal,video
0,2187850,5.0,5.0,8
50,2187900,5.0,5.0,8
100,2187950,5.0,5.0,8
150,2188000,5.0,5.0,8
200,2188050,5.0,5.0,8
250,2188100,5.0,5.0,8
300,2188150,5.0,5.0,8
350,2188200,5.0,5.0,8
400,2188250,5.0,5.0,8
450,2188300,5.0,5.0,8
500,2188350,5.0,5.0,8
550,2188400,5.0,5.0,8
600,2188450,5.0,5.0,8
650,2188500,5.0,5.0,8
700,2188550,5.0,5.0,8
750,2188600,5.0,5.0,8
800,2188650,5.0,5.0,8
850,2188700,5.0,5.0,8
900,2188750,5.0,5.0,8
950,2188800,5.0,5.0,8
1000,2188850,5.0,5.0,8
1050,2188900,5.0,5.0,8
1100,2188950,5.0,5.0,8
1150,2189000,5.0,5.0,8
1200,2189050,5.0,5.0,8
1250,2189100,5.0,5.0,8
1300,2189150,5.0,5.0,8
1350,2189200,5.0,5.0,8
1400,2189250,5.0,5.0,8
1450,2189300,5.0,5.0,8
1500,2189350,5.0,5.0,8
1550,2189400,5.0,5.0,8
1600,2189450,5.0,5.0,8
1650,2189500,5.0,5.0,8
1700,2189550,5.0,5.0,8
1750,2189600,5.0,5.0,8
1800,2189650,5.0,5.0,8
1850,2189700,5.0,5.0,8
1900,2189750,5.0,5.0,8
1950,2189800,5.0,5.0,8
2000,2189850,5.0,5.0,8
2050,2189900,5.0,5.0,8
2100,2189950,5.0,5.0,8
2150,2190000,5.0,5.0,8
2200,2190050,5.0,5.0,8
2250,2190100,5.0,5.0,8
2300,2190150,5.0,5.0,8
2350,2190200,5.0,5.0,8
2400,2190250,5.0,5.0,8
2450,2190300,5.0,5.0,8
2500,2190350,5.0,5.0,8
2550,2190400,5.0,5.0,8
2600,2190450,5.0,5.0,8
2650,2190500,5.0,5.0,8
2700,2190550,5.0,5.0,8
2750,2190600,5.0,5.0,8
2800,2190650,5.0,5.0,8
2850,2190700,5.0,5.0,8
2900,2190750,5.0,5.0,8
2950,2190800,5.0,5.0,8
3000,2190850,5.0,5.0,8
3050,2190900,5.0,5.0,8
3100,2190950,5.0,5.0,8
3150,2191000,5.0,5.0,8
3200,2191050,5.0,5.0,8
3250,2191100,5.0,5.0,8
3300,2191150,5.0,5.0,8
3350,2191200,5.0,5.0,8
3400,2191250,5.0,5.0,8
3450,2191300,5.0,5.0,8
3500,2191350,5.0,5.0,8
3550,2191400,5.0,5.0,8
3600,2191450,5.0,5.0,8
3650,2191500,5.0,5.0,8
3700,2191550,5.0,5.0,8
3750,2191600,5.0,5.0,8
3800,2191650,5.0,5.0,8
3850,2191700,5.0,5.0,8
3900,2191750,5.0,5.0,8
3950,2191800,5.0,5.0,8
4000,2191850,5.0,5.0,8
4050,2191900,5.0,5.0,8
4100,2191950,5.0,5.0,8
4150,2192000,5.0,5.0,8
4200,2192050,5.0,5.0,8
4250,2192100,5.0,5.0,8
4300,2192150,5.0,5.0,8
4350,2192200,5.0,5.0,8
4400,2192250,5.0,5.0,8
4450,2192300,5.0,5.0,8
4500,2192350,5.0,5.0,8
4550,2192400,5.0,5.0,8
4600,2192450,5.0,5.0,8
4650,2192500,5.0,5.0,8
4700,2192550,5.0,5.0,8
4750,2192600,5.0,5.0,8
4800,2192650,5.0,5.0,8
4850,2192700,5.0,5.0,8
4900,2192750,5.0,5.0,8
4950,2192800,5.0,5.0,8
5000,2192850,5.0,5.0,8
5050,2192900,5.0,5.0,8
5100,2192950,5.0,5.0,8
5150,2193000,5.0,5.0,8
5200,2193050,5.0,5.0,8
5250,2193100,5.0,5.0,8
5300,2193150,5.0,5.0,8
5350,2193200,5.0,5.0,8
5400,2193250,5.0,5.0,8
5450,2193300,5.0,5.0,8
5500,2193350,5.0,5.0,8
5550,2193400,5.0,5.0,8
5600,2193450,5.0,5.0,8
5650,2193500,5.0,5.0,8
5700,2193550,5.0,5.0,8
5750,2193600,5.0,5.0,8
5800,2193650,5.0,5.0,8
5850,2193700,5.0,5.0,8
5900,2193750,5.0,5.0,8
5950,2193800,5.0,5.0,8
6000,2193850,5.0,5.0,8
6050,2193900,5.0,5.0,8
6100,2193950,5.0,5.0,8
6150,2194000,5.0,5.0,8
6200,2194050,5.0,5.0,8
6250,2194100,5.0,5.0,8
6300,2194150,5.0,5.0,8
6350,2194200,5.0,5.0,8
6400,2194250,5.0,5.0,8
6450,2194300,5.0,5.0,8
6500,2194350,5.0,5.0,8
6550,2194400,5.0,5.0,8
6600,2194450,5.0,5.0,8
6650,2194500,5.0,5.0,8
6700,2194550,5.0,5.0,8
6750,2194600,5.0,5.0,8
6800,2194650,5.0,5.0,8
6850,2194700,5.0,5.0,8
6900,2194750,5.0,5.0,8
6950,2194800,5.0,5.0,8
7000,2194850,5.0,5.0,8
7050,2194900,5.0,5.0,8
7100,2194950,5.0,5.0,8
7150,2195000,5.0,5.0,8
7200,2195050,5.0,5.0,8
7250,2195100,5.0,5.0,8
7300,2195150,5.0,5.0,8
7350,2195200,5.0,5.0,8
7400,2195250,5.0,5.0,8
7450,2195300,5.0,5.0,8
7500,2195350,5.0,5.0,8
7550,2195400,5.0,5.0,8
7600,2195450,5.0,5.0,8
7650,2195500,5.0,5.0,8
7700,2195550,5.0,5.0,8
7750,2195600,5.0,5.0,8
7800,2195650,5.0,5.0,8
7850,2195700,5.0,5.0,8
7900,2195750,5.0,5.0,8
7950,2195800,5.0,5.0,8
8000,2195850,5.0,5.0,8
8050,2195900,5.0,5.0,8
8100,2195950,5.0,5.0,8
8150,2196000,5.0,5.0,8
8200,2196050,5.0,5.0,8
8250,2196100,5.0,5.003,8
