timepoint,jstime,valence,arousal,video
50300,1375550,5.074,6.628,7
50350,1375600,5.075,6.686,7
50400,1375650,5.085,6.753,7
50450,1375700,5.096,6.797,7
50500,1375750,5.096,6.814,7
50550,1375800,5.096,6.827,7
50600,1375850,5.096,6.848,7
50650,1375900,5.096,6.873,7
50700,1375950,5.096,6.89,7
50750,1376000,5.096,6.897,7
50800,1376050,5.096,6.901,7
50850,1376100,5.096,6.902,7
50900,1376150,5.096,6.903,7
50950,1376200,5.096,6.903,7
51000,1376250,5.096,6.904,7
51050,1376300,5.096,6.907,7
51100,1376350,5.094,6.91,7
51150,1376400,5.09,6.911,7
51200,1376450,5.088,6.911,7
51250,1376500,5.087,6.911,7
51300,1376550,5.086,6.911,7
51350,1376600,5.085,6.911,7
51400,1376650,5.082,6.911,7
51450,1376700,5.077,6.911,7
51500,1376750,5.074,6.911,7
51550,1376800,5.069,6.911,7
51600,1376850,5.066,6.911,7
51650,1376900,5.065,6.911,7
51700,1376950,5.065,6.911,7
51750,1377000,5.064,6.911,7
51800,1377050,5.063,6.911,7
51850,1377100,5.063,6.911,7
51900,1377150,5.063,6.911,7
51950,1377200,5.063,6.911,7
52000,1377250,5.063,6.911,7
52050,1377300,5.063,6.91,7
52100,1377350,5.062,6.898,7
52150,1377400,5.048,6.865,7
52200,1377450,5.0,6.792,7
52250,1377500,4.949,6.71,7
52300,1377550,4.929,6.672,7
52350,1377600,4.926,6.661,7
52400,1377650,4.926,6.656,7
52450,1377700,4.926,6.644,7
52500,1377750,4.923,6.615,7
52550,1377800,4.912,6.565,7
52600,1377850,4.901,6.526,7
52650,1377900,4.899,6.517,7
52700,1377950,4.899,6.517,7
52750,1378000,4.899,6.517,7
52800,1378050,4.899,6.517,7
52850,1378100,4.899,6.517,7
52900,1378150,4.899,6.517,7
52950,1378200,4.899,6.517,7
53000,1378250,4.908,6.517,7
53050,1378300,4.922,6.517,7
53100,1378350,4.943,6.517,7
53150,1378400,4.985,6.514,7
53200,1378450,5.026,6.502,7
53250,1378500,5.05,6.491,7
53300,1378550,5.056,6.484,7
53350,1378600,5.056,6.48,7
53400,1378650,5.058,6.477,7
53450,1378700,5.062,6.466,7
53500,1378750,5.063,6.449,7
53550,1378800,5.063,6.436,7
53600,1378850,5.063,6.432,7
53650,1378900,5.063,6.432,7
53700,1378950,5.063,6.432,7
53750,1379000,5.063,6.432,7
53800,1379050,5.063,6.432,7
53850,1379100,5.063,6.431,7
53900,1379150,5.063,6.43,7
53950,1379200,5.063,6.43,7
54000,1379250,5.063,6.43,7
54050,1379300,5.063,6.43,7
54100,1379350,5.063,6.43,7
54150,1379400,5.063,6.429,7
54200,1379450,5.063,6.428,7
54250,1379500,5.063,6.428,7
54300,1379550,5.063,6.428,7
54350,1379600,5.063,6.428,7
54400,1379650,5.063,6.428,7
54450,1379700,5.063,6.428,7
54500,1379750,5.063,6.428,7
54550,1379800,5.063,6.428,7
54600,1379850,5.063,6.428,7
54650,1379900,5.063,6.428,7
54700,1379950,5.063,6.428,7
54750,1380000,5.063,6.428,7
54800,1380050,5.063,6.428,7
54850,1380100,5.063,6.428,7
54900,1380150,5.063,6.428,7
54950,1380200,5.063,6.428,7
55000,1380250,5.063,6.428,7
55050,1380300,5.063,6.428,7
55100,1380350,5.063,6.428,7
55150,1380400,5.063,6.428,7
55200,1380450,5.063,6.428,7
55250,1380500,5.063,6.428,7
55300,1380550,5.063,6.428,7
55350,1380600,5.063,6.428,7
55400,1380650,5.063,6.428,7
55450,1380700,5.063,6.428,7
55500,1380750,5.063,6.428,7
55550,1380800,5.063,6.428,7
55600,1380850,5.063,6.428,7
55650,1380900,5.063,6.428,7
55700,1380950,5.063,6.428,7
55750,1381000,5.063,6.428,7
55800,1381050,5.063,6.428,7
55850,1381100,5.063,6.428,7
55900,1381150,5.063,6.428,7
55950,1381200,5.063,6.428,7
56000,1381250,5.063,6.428,7
56050,1381300,5.063,6.428,7
56100,1381350,5.063,6.428,7
56150,1381400,5.063,6.428,7
56200,1381450,5.063,6.428,7
56250,1381500,5.063,6.428,7
56300,1381550,5.063,6.428,7
56350,1381600,5.063,6.428,7
56400,1381650,5.063,6.428,7
56450,1381700,5.063,6.428,7
56500,1381750,5.063,6.428,7
56550,1381800,5.063,6.428,7
56600,1381850,5.063,6.428,7
56650,1381900,5.063,6.428,7
56700,1381950,5.063,6.428,7
56750,1382000,5.063,6.428,7
56800,1382050,5.063,6.428,7
