Unnamed: 0,jstime,valence,arousal,video
45652,2282600,1.814,6.345,7
45653,2282650,1.891,6.345,7
45654,2282700,2.098,6.345,7
45655,2282750,2.372,6.345,7
45656,2282800,2.523,6.343,7
45657,2282850,2.523,6.338,7
45658,2282900,2.523,6.337,7
45659,2282950,2.523,6.333,7
45660,2283000,2.513,6.333,7
45661,2283050,2.474,6.333,7
45662,2283100,2.402,6.333,7
45663,2283150,2.289,6.333,7
45664,2283200,2.171,6.333,7
45665,2283250,2.077,6.333,7
45666,2283300,2.048,6.333,7
45667,2283350,2.048,6.332,7
45668,2283400,2.048,6.331,7
45669,2283450,2.048,6.329,7
45670,2283500,2.048,6.325,7
45671,2283550,2.048,6.32,7
45672,2283600,2.048,6.317,7
45673,2283650,2.048,6.313,7
45674,2283700,2.048,6.308,7
45675,2283750,2.048,6.305,7
45676,2283800,2.048,6.302,7
45677,2283850,2.048,6.3,7
45678,2283900,2.048,6.3,7
45679,2283950,2.048,6.299,7
45680,2284000,2.048,6.297,7
45681,2284050,2.048,6.294,7
45682,2284100,2.048,6.294,7
45683,2284150,2.048,6.294,7
45684,2284200,2.048,6.293,7
45685,2284250,2.048,6.29,7
45686,2284300,2.048,6.289,7
45687,2284350,2.047,6.288,7
45688,2284400,2.045,6.284,7
45689,2284450,2.045,6.284,7
45690,2284500,2.045,6.283,7
45691,2284550,2.045,6.281,7
45692,2284600,2.045,6.279,7
45693,2284650,2.045,6.279,7
45694,2284700,2.045,6.279,7
45695,2284750,2.045,6.276,7
45696,2284800,2.045,6.275,7
45697,2284850,2.045,6.275,7
45698,2284900,2.045,6.274,7
45699,2284950,2.045,6.272,7
45700,2285000,2.045,6.272,7
45701,2285050,2.043,6.272,7
45702,2285100,2.043,6.272,7
45703,2285150,2.042,6.272,7
45704,2285200,2.038,6.272,7
45705,2285250,2.036,6.272,7
45706,2285300,2.036,6.272,7
45707,2285350,2.036,6.272,7
45708,2285400,2.036,6.272,7
45709,2285450,2.036,6.272,7
45710,2285500,2.036,6.272,7
45711,2285550,2.036,6.272,7
45712,2285600,2.036,6.272,7
45713,2285650,2.036,6.271,7
45714,2285700,2.036,6.268,7
45715,2285750,2.036,6.266,7
45716,2285800,2.035,6.263,7
45717,2285850,2.033,6.263,7
45718,2285900,2.033,6.263,7
45719,2285950,2.033,6.263,7
45720,2286000,2.033,6.263,7
45721,2286050,2.033,6.263,7
45722,2286100,2.033,6.263,7
45723,2286150,2.033,6.263,7
45724,2286200,2.033,6.263,7
45725,2286250,2.033,6.263,7
45726,2286300,2.033,6.263,7
45727,2286350,2.033,6.263,7
45728,2286400,2.033,6.263,7
45729,2286450,2.033,6.263,7
45730,2286500,2.033,6.263,7
45731,2286550,2.033,6.263,7
45732,2286600,2.033,6.263,7
45733,2286650,2.033,6.263,7
45734,2286700,2.033,6.263,7
45735,2286750,2.033,6.263,7
45736,2286800,2.033,6.263,7
45737,2286850,2.033,6.263,7
45738,2286900,2.033,6.265,7
45739,2286950,2.033,6.27,7
45740,2287000,2.033,6.275,7
45741,2287050,2.032,6.282,7
45742,2287100,2.032,6.288,7
45743,2287150,2.032,6.295,7
45744,2287200,2.032,6.3,7
45745,2287250,2.032,6.301,7
45746,2287300,2.032,6.302,7
45747,2287350,2.032,6.302,7
45748,2287400,2.031,6.303,7
45749,2287450,2.031,6.303,7
45750,2287500,2.031,6.303,7
45751,2287550,2.029,6.303,7
45752,2287600,2.029,6.303,7
45753,2287650,2.029,6.303,7
45754,2287700,2.029,6.303,7
45755,2287750,2.029,6.303,7
45756,2287800,2.029,6.305,7
45757,2287850,2.029,6.307,7
45758,2287900,2.029,6.311,7
45759,2287950,2.029,6.314,7
45760,2288000,2.029,6.317,7
45761,2288050,2.029,6.323,7
45762,2288100,2.029,6.335,7
45763,2288150,2.029,6.345,7
45764,2288200,2.029,6.346,7
45765,2288250,2.029,6.352,7
45766,2288300,2.029,6.357,7
45767,2288350,2.029,6.358,7
45768,2288400,2.029,6.358,7
45769,2288450,2.029,6.36,7
45770,2288500,2.028,6.362,7
45771,2288550,2.027,6.366,7
45772,2288600,2.026,6.366,7
45773,2288650,2.026,6.366,7
45774,2288700,2.026,6.366,7
45775,2288750,2.026,6.366,7
45776,2288800,2.026,6.366,7
45777,2288850,2.026,6.366,7
45778,2288900,2.026,6.366,7
45779,2288950,2.026,6.366,7
45780,2289000,2.026,6.366,7
45781,2289050,2.026,6.366,7
45782,2289100,2.026,6.366,7
45783,2289150,2.026,6.366,7
45784,2289200,2.025,6.366,7
45785,2289250,2.022,6.366,7
45786,2289300,2.02,6.364,7
45787,2289350,2.02,6.356,7
45788,2289400,2.019,6.346,7
45789,2289450,2.015,6.332,7
45790,2289500,2.012,6.316,7
45791,2289550,2.007,6.298,7
45792,2289600,2.0,6.275,7
45793,2289650,1.994,6.26,7
45794,2289700,1.99,6.247,7
45795,2289750,1.986,6.238,7
45796,2289800,1.985,6.233,7
45797,2289850,1.985,6.222,7
45798,2289900,1.981,6.212,7
45799,2289950,1.977,6.201,7
45800,2290000,1.977,6.193,7
45801,2290050,1.977,6.187,7
45802,2290100,1.977,6.179,7
45803,2290150,1.977,6.17,7
45804,2290200,1.977,6.166,7
45805,2290250,1.977,6.159,7
45806,2290300,1.977,6.152,7
45807,2290350,1.977,6.147,7
45808,2290400,1.977,6.14,7
45809,2290450,1.977,6.131,7
45810,2290500,1.977,6.125,7
45811,2290550,1.977,6.125,7
45812,2290600,1.977,6.124,7
45813,2290650,1.977,6.12,7
45814,2290700,1.977,6.117,7
45815,2290750,1.977,6.115,7
45816,2290800,1.977,6.112,7
45817,2290850,1.977,6.112,7
45818,2290900,1.977,6.112,7
45819,2290950,1.977,6.111,7
45820,2291000,1.977,6.11,7
45821,2291050,1.977,6.108,7
45822,2291100,1.977,6.103,7
45823,2291150,1.977,6.103,7
45824,2291200,1.977,6.101,7
45825,2291250,1.977,6.096,7
45826,2291300,1.977,6.092,7
45827,2291350,1.977,6.092,7
45828,2291400,1.977,6.089,7
45829,2291450,1.977,6.084,7
45830,2291500,1.977,6.078,7
45831,2291550,1.977,6.072,7
45832,2291600,1.977,6.066,7
45833,2291650,1.977,6.06,7
45834,2291700,1.977,6.056,7
45835,2291750,1.977,6.051,7
45836,2291800,1.977,6.048,7
45837,2291850,1.977,6.041,7
45838,2291900,1.977,6.04,7
45839,2291950,1.977,6.036,7
45840,2292000,1.977,6.032,7
45841,2292050,1.977,6.025,7
45842,2292100,1.977,6.016,7
