timepoint,jstime,valence,arousal,video
0,1347900,5.0,5.0,8
50,1347950,5.0,5.0,8
100,1348000,5.0,5.0,8
150,1348050,5.0,5.0,8
200,1348100,5.0,5.0,8
250,1348150,5.0,5.0,8
300,1348200,5.0,5.0,8
350,1348250,5.0,5.0,8
400,1348300,5.0,5.0,8
450,1348350,5.0,5.0,8
500,1348400,5.0,5.0,8
550,1348450,5.0,5.0,8
600,1348500,5.0,5.0,8
650,1348550,5.0,5.0,8
700,1348600,5.0,5.0,8
750,1348650,5.0,5.0,8
800,1348700,5.0,5.0,8
850,1348750,5.0,5.0,8
900,1348800,5.0,5.0,8
950,1348850,5.0,5.0,8
1000,1348900,5.0,5.0,8
1050,1348950,5.0,5.0,8
1100,1349000,5.0,5.0,8
1150,1349050,5.0,5.0,8
1200,1349100,5.0,5.0,8
1250,1349150,5.0,5.0,8
1300,1349200,5.0,5.0,8
1350,1349250,5.0,5.0,8
1400,1349300,5.0,5.0,8
1450,1349350,5.0,5.0,8
1500,1349400,5.0,5.0,8
1550,1349450,5.0,5.0,8
1600,1349500,5.0,5.0,8
1650,1349550,5.0,5.0,8
1700,1349600,5.0,5.0,8
1750,1349650,5.0,5.0,8
1800,1349700,5.0,5.0,8
1850,1349750,5.0,5.0,8
1900,1349800,5.0,5.0,8
1950,1349850,5.0,5.0,8
2000,1349900,5.0,5.0,8
2050,1349950,5.0,5.0,8
2100,1350000,5.0,5.0,8
2150,1350050,5.0,5.0,8
2200,1350100,5.0,5.0,8
2250,1350150,5.0,5.0,8
2300,1350200,5.0,5.0,8
2350,1350250,5.0,5.0,8
2400,1350300,5.0,5.0,8
2450,1350350,5.0,5.0,8
2500,1350400,5.0,5.0,8
2550,1350450,5.0,5.0,8
2600,1350500,5.0,5.0,8
2650,1350550,5.0,5.0,8
2700,1350600,5.0,5.0,8
2750,1350650,5.0,5.0,8
2800,1350700,5.0,5.0,8
2850,1350750,5.0,5.0,8
2900,1350800,5.0,5.0,8
2950,1350850,5.0,5.0,8
3000,1350900,5.0,5.0,8
3050,1350950,5.0,5.0,8
3100,1351000,5.0,5.0,8
3150,1351050,5.0,5.0,8
3200,1351100,5.0,5.0,8
3250,1351150,5.0,5.0,8
3300,1351200,5.0,5.0,8
3350,1351250,5.0,5.0,8
3400,1351300,5.0,5.0,8
3450,1351350,5.0,5.0,8
3500,1351400,5.0,5.0,8
3550,1351450,5.0,5.0,8
3600,1351500,5.0,5.0,8
3650,1351550,5.0,5.0,8
3700,1351600,5.0,5.0,8
3750,1351650,5.0,5.0,8
3800,1351700,5.0,5.0,8
3850,1351750,5.0,5.0,8
3900,1351800,5.0,5.0,8
3950,1351850,5.0,5.0,8
4000,1351900,5.0,5.0,8
4050,1351950,5.0,5.0,8
4100,1352000,5.0,5.02,8
4150,1352050,5.0,5.031,8
4200,1352100,5.0,5.032,8
4250,1352150,5.0,5.036,8
4300,1352200,5.0,5.039,8
4350,1352250,5.0,5.039,8
4400,1352300,5.0,5.073,8
4450,1352350,5.0,5.118,8
4500,1352400,5.0,5.129,8
4550,1352450,5.0,5.154,8
4600,1352500,5.0,5.161,8
4650,1352550,5.0,5.161,8
4700,1352600,5.0,5.167,8
4750,1352650,5.0,5.167,8
4800,1352700,5.0,5.167,8
4850,1352750,5.0,5.167,8
4900,1352800,5.0,5.167,8
4950,1352850,5.0,5.167,8
5000,1352900,5.0,5.167,8
5050,1352950,5.0,5.167,8
5100,1353000,5.0,5.167,8
5150,1353050,5.0,5.167,8
5200,1353100,5.0,5.167,8
5250,1353150,5.0,5.167,8
5300,1353200,5.0,5.167,8
5350,1353250,5.0,5.167,8
5400,1353300,5.0,5.167,8
5450,1353350,5.0,5.167,8
5500,1353400,5.0,5.167,8
5550,1353450,5.0,5.167,8
5600,1353500,5.0,5.167,8
5650,1353550,5.0,5.167,8
5700,1353600,5.0,5.167,8
5750,1353650,5.0,5.167,8
5800,1353700,5.0,5.167,8
5850,1353750,5.0,5.167,8
5900,1353800,5.0,5.167,8
5950,1353850,5.0,5.168,8
6000,1353900,5.0,5.173,8
6050,1353950,5.0,5.182,8
6100,1354000,5.0,5.187,8
6150,1354050,5.0,5.196,8
6200,1354100,5.0,5.214,8
6250,1354150,5.0,5.219,8
6300,1354200,5.0,5.23,8
6350,1354250,5.0,5.233,8
6400,1354300,5.0,5.245,8
6450,1354350,5.0,5.246,8
6500,1354400,5.0,5.253,8
6550,1354450,5.0,5.257,8
6600,1354500,5.0,5.263,8
6650,1354550,5.0,5.273,8
6700,1354600,5.0,5.273,8
6750,1354650,5.0,5.275,8
6800,1354700,5.0,5.275,8
6850,1354750,5.0,5.276,8
6900,1354800,5.0,5.276,8
6950,1354850,5.0,5.276,8
7000,1354900,5.0,5.276,8
7050,1354950,5.0,5.276,8
7100,1355000,5.0,5.276,8
7150,1355050,5.0,5.276,8
7200,1355100,5.0,5.276,8
7250,1355150,5.0,5.276,8
7300,1355200,5.0,5.279,8
7350,1355250,5.0,5.285,8
7400,1355300,5.0,5.289,8
