timepoint,jstime,valence,arousal,video
50150,815950,4.137,5.036,7
50200,816000,4.137,5.034,7
50250,816050,4.137,5.032,7
50300,816100,4.137,5.031,7
50350,816150,4.137,5.027,7
50400,816200,4.137,5.025,7
50450,816250,4.136,5.024,7
50500,816300,4.134,5.017,7
50550,816350,4.127,5.009,7
50600,816400,4.121,5.001,7
50650,816450,4.117,4.997,7
50700,816500,4.116,4.992,7
50750,816550,4.114,4.986,7
50800,816600,4.112,4.981,7
50850,816650,4.111,4.981,7
50900,816700,4.111,4.981,7
50950,816750,4.111,4.981,7
51000,816800,4.111,4.98,7
51050,816850,4.111,4.979,7
51100,816900,4.111,4.979,7
51150,816950,4.111,4.979,7
51200,817000,4.111,4.979,7
51250,817050,4.111,4.979,7
51300,817100,4.111,4.979,7
51350,817150,4.111,4.979,7
51400,817200,4.111,4.979,7
51450,817250,4.111,4.979,7
51500,817300,4.111,4.979,7
51550,817350,4.111,4.979,7
51600,817400,4.111,4.979,7
51650,817450,4.111,4.979,7
51700,817500,4.111,4.979,7
51750,817550,4.111,4.979,7
51800,817600,4.111,4.979,7
51850,817650,4.111,4.979,7
51900,817700,4.111,4.979,7
51950,817750,4.111,4.979,7
52000,817800,4.111,4.979,7
52050,817850,4.107,4.979,7
52100,817900,4.104,4.979,7
52150,817950,4.104,4.979,7
52200,818000,4.104,4.979,7
52250,818050,4.104,4.979,7
52300,818100,4.104,4.979,7
52350,818150,4.104,4.98,7
52400,818200,4.097,5.0,7
52450,818250,4.093,5.034,7
52500,818300,4.089,5.077,7
52550,818350,4.086,5.133,7
52600,818400,4.079,5.186,7
52650,818450,4.072,5.219,7
52700,818500,4.07,5.24,7
52750,818550,4.07,5.257,7
52800,818600,4.07,5.273,7
52850,818650,4.07,5.289,7
52900,818700,4.07,5.309,7
52950,818750,4.07,5.338,7
53000,818800,4.07,5.371,7
53050,818850,4.07,5.406,7
53100,818900,4.071,5.426,7
53150,818950,4.077,5.437,7
53200,819000,4.082,5.44,7
53250,819050,4.085,5.44,7
53300,819100,4.091,5.44,7
53350,819150,4.097,5.44,7
53400,819200,4.105,5.44,7
53450,819250,4.111,5.44,7
53500,819300,4.127,5.44,7
53550,819350,4.159,5.452,7
53600,819400,4.193,5.467,7
53650,819450,4.21,5.475,7
53700,819500,4.218,5.483,7
53750,819550,4.22,5.491,7
53800,819600,4.22,5.5,7
53850,819650,4.22,5.517,7
53900,819700,4.22,5.535,7
53950,819750,4.22,5.547,7
54000,819800,4.22,5.558,7
54050,819850,4.22,5.571,7
54100,819900,4.22,5.577,7
54150,819950,4.216,5.581,7
54200,820000,4.196,5.588,7
54250,820050,4.16,5.6,7
54300,820100,4.098,5.611,7
54350,820150,4.024,5.628,7
54400,820200,3.959,5.646,7
54450,820250,3.935,5.651,7
54500,820300,3.932,5.651,7
54550,820350,3.93,5.651,7
54600,820400,3.926,5.651,7
54650,820450,3.922,5.651,7
54700,820500,3.918,5.651,7
54750,820550,3.906,5.651,7
54800,820600,3.867,5.647,7
54850,820650,3.742,5.626,7
54900,820700,3.553,5.6,7
54950,820750,3.44,5.593,7
55000,820800,3.417,5.593,7
55050,820850,3.417,5.593,7
55100,820900,3.417,5.593,7
55150,820950,3.417,5.593,7
55200,821000,3.417,5.593,7
55250,821050,3.417,5.593,7
55300,821100,3.439,5.593,7
55350,821150,3.495,5.593,7
55400,821200,3.555,5.593,7
55450,821250,3.582,5.593,7
55500,821300,3.592,5.593,7
55550,821350,3.592,5.598,7
55600,821400,3.592,5.606,7
55650,821450,3.592,5.62,7
55700,821500,3.592,5.637,7
55750,821550,3.592,5.651,7
55800,821600,3.592,5.661,7
55850,821650,3.592,5.666,7
55900,821700,3.592,5.67,7
55950,821750,3.592,5.671,7
56000,821800,3.593,5.674,7
56050,821850,3.596,5.677,7
56100,821900,3.6,5.682,7
56150,821950,3.601,5.692,7
56200,822000,3.602,5.703,7
56250,822050,3.602,5.72,7
56300,822100,3.604,5.737,7
56350,822150,3.605,5.748,7
56400,822200,3.607,5.754,7
56450,822250,3.607,5.758,7
56500,822300,3.609,5.761,7
56550,822350,3.611,5.766,7
56600,822400,3.613,5.767,7
56650,822450,3.614,5.767,7
56700,822500,3.615,5.767,7
56750,822550,3.615,5.767,7
56800,822600,3.615,5.767,7
56850,822650,3.615,5.767,7
56900,822700,3.615,5.767,7
56950,822750,3.615,5.767,7
57000,822800,3.615,5.767,7
57050,822850,3.616,5.767,7
57100,822900,3.617,5.767,7
57150,822950,3.617,5.767,7
57200,823000,3.617,5.767,7
57250,823050,3.617,5.767,7
57300,823100,3.617,5.767,7
57350,823150,3.618,5.767,7
57400,823200,3.621,5.767,7
57450,823250,3.625,5.767,7
57500,823300,3.626,5.767,7
57550,823350,3.626,5.767,7
57600,823400,3.626,5.767,7
57650,823450,3.626,5.763,7
57700,823500,3.626,5.756,7
57750,823550,3.626,5.749,7
57800,823600,3.626,5.739,7
57850,823650,3.626,5.731,7
57900,823700,3.626,5.715,7
57950,823750,3.626,5.694,7
58000,823800,3.626,5.678,7
58050,823850,3.626,5.67,7
58100,823900,3.626,5.668,7
58150,823950,3.626,5.658,7
58200,824000,3.534,5.198,7
58250,824050,3.614,4.239,7
58300,824100,4.369,4.794,7
58350,824150,3.824,4.92,7
58400,824200,3.37,5.005,7
58450,824250,3.442,5.318,7
58500,824300,3.325,5.579,7
58550,824350,3.038,5.82,7
58600,824400,2.84,6.07,7
58650,824450,2.796,6.191,7
58700,824500,2.569,6.211,7
58750,824550,2.083,6.317,7
58800,824600,1.471,6.593,7
58850,824650,1.164,6.881,7
58900,824700,0.889,7.109,7
58950,824750,0.586,7.369,7
59000,824800,0.5,7.94,7
59050,824850,0.5,8.573,7
59100,824900,0.5,8.94,7
59150,824950,0.5,8.959,7
59200,825000,0.5,8.817,7
59250,825050,0.5,8.625,7
59300,825100,0.5,8.431,7
59350,825150,0.5,8.241,7
59400,825200,0.5,8.128,7
59450,825250,0.5,8.104,7
59500,825300,0.5,8.16,7
59550,825350,0.5,8.299,7
59600,825400,0.5,8.639,7
59650,825450,0.5,9.114,7
59700,825500,0.5,9.43,7
59750,825550,0.5,9.5,7
59800,825600,0.5,9.5,7
59850,825650,0.5,9.5,7
59900,825700,0.5,9.5,7
59950,825750,0.5,9.5,7
60000,825800,0.5,9.5,7
60050,825850,0.5,9.5,7
60100,825900,0.5,9.5,7
60150,825950,0.5,9.5,7
60200,826000,0.5,9.5,7
60250,826050,0.5,9.5,7
60300,826100,0.5,9.5,7
60350,826150,0.5,9.5,7
60400,826200,0.5,9.5,7
60450,826250,0.5,9.5,7
60500,826300,0.5,9.5,7
60550,826350,0.5,9.5,7
60600,826400,0.5,9.5,7
60650,826450,0.5,9.5,7
60700,826500,0.5,9.5,7
60750,826550,0.5,9.5,7
60800,826600,0.5,9.5,7
60850,826650,0.5,9.5,7
60900,826700,0.5,9.5,7
60950,826750,0.5,9.5,7
61000,826800,0.5,9.5,7
61050,826850,0.5,9.5,7
61100,826900,0.5,9.5,7
61150,826950,0.5,9.5,7
61200,827000,0.5,9.5,7
61250,827050,0.5,9.5,7
61300,827100,0.5,9.5,7
61350,827150,0.5,9.5,7
61400,827200,0.5,9.5,7
61450,827250,0.5,9.5,7
61500,827300,0.5,9.5,7
61550,827350,0.5,9.5,7
61600,827400,0.5,9.5,7
61650,827450,0.5,9.5,7
61700,827500,0.5,9.5,7
61750,827550,0.5,9.5,7
61800,827600,0.5,9.5,7
61850,827650,0.5,9.5,7
61900,827700,0.5,9.5,7
61950,827750,0.5,9.5,7
62000,827800,0.5,9.5,7
62050,827850,0.5,9.5,7
62100,827900,0.5,9.5,7
62150,827950,0.5,9.5,7
62200,828000,0.5,9.5,7
62250,828050,0.5,9.5,7
62300,828100,0.5,9.5,7
62350,828150,0.5,9.5,7
62400,828200,0.5,9.5,7
62450,828250,0.5,9.5,7
62500,828300,0.5,9.5,7
62550,828350,0.5,9.5,7
62600,828400,0.5,9.5,7
62650,828450,0.5,9.5,7
62700,828500,0.5,9.5,7
62750,828550,0.5,9.5,7
62800,828600,0.5,9.5,7
62850,828650,0.5,9.465,7
62900,828700,0.5,9.403,7
62950,828750,0.5,9.365,7
63000,828800,0.5,9.376,7
63050,828850,0.5,9.465,7
63100,828900,0.5,9.5,7
63150,828950,0.5,9.5,7
63200,829000,0.5,9.5,7
63250,829050,0.5,9.5,7
63300,829100,0.5,9.5,7
63350,829150,0.5,9.5,7
63400,829200,0.5,9.5,7
63450,829250,0.5,9.5,7
63500,829300,0.5,9.5,7
63550,829350,0.5,9.5,7
63600,829400,0.5,9.5,7
63650,829450,0.5,9.5,7
63700,829500,0.5,9.5,7
63750,829550,0.5,9.5,7
63800,829600,0.5,9.5,7
63850,829650,0.5,9.5,7
63900,829700,0.5,9.5,7
63950,829750,0.5,9.5,7
64000,829800,0.5,9.5,7
64050,829850,0.5,9.5,7
64100,829900,0.5,9.5,7
64150,829950,0.5,9.5,7
64200,830000,0.5,9.5,7
64250,830050,0.5,9.5,7
64300,830100,0.5,9.5,7
64350,830150,0.5,9.5,7
64400,830200,0.5,9.5,7
64450,830250,0.5,9.5,7
64500,830300,0.5,9.5,7
64550,830350,0.5,9.5,7
64600,830400,0.5,9.5,7
64650,830450,0.5,9.5,7
64700,830500,0.5,9.5,7
64750,830550,0.5,9.5,7
64800,830600,0.5,9.5,7
64850,830650,0.5,9.5,7
64900,830700,0.5,9.5,7
64950,830750,0.5,9.5,7
65000,830800,0.5,9.5,7
65050,830850,0.5,9.5,7
65100,830900,0.5,9.5,7
65150,830950,0.5,9.5,7
65200,831000,0.5,9.5,7
65250,831050,0.5,9.5,7
65300,831100,0.5,9.5,7
65350,831150,0.5,9.5,7
65400,831200,0.5,9.5,7
65450,831250,0.5,9.5,7
65500,831300,0.5,9.5,7
65550,831350,0.5,9.5,7
65600,831400,0.5,9.5,7
65650,831450,0.5,9.5,7
65700,831500,0.5,9.5,7
65750,831550,0.5,9.5,7
65800,831600,0.5,9.5,7
65850,831650,0.5,9.5,7
65900,831700,0.5,9.5,7
65950,831750,0.5,9.5,7
66000,831800,0.5,9.5,7
66050,831850,0.5,9.5,7
66100,831900,0.5,9.5,7
66150,831950,0.5,9.5,7
66200,832000,0.5,9.5,7
66250,832050,0.5,9.5,7
66300,832100,0.5,9.5,7
66350,832150,0.5,9.5,7
66400,832200,0.5,9.5,7
66450,832250,0.5,9.5,7
66500,832300,0.5,9.5,7
66550,832350,0.5,9.5,7
66600,832400,0.5,9.5,7
66650,832450,0.5,9.5,7
66700,832500,0.5,9.5,7
66750,832550,0.5,9.5,7
66800,832600,0.5,9.5,7
66850,832650,0.5,9.5,7
66900,832700,0.5,9.5,7
66950,832750,0.5,9.5,7
67000,832800,0.5,9.5,7
67050,832850,0.5,9.5,7
67100,832900,0.5,9.5,7
67150,832950,0.5,9.5,7
67200,833000,0.5,9.5,7
67250,833050,0.5,9.5,7
67300,833100,0.5,9.5,7
67350,833150,0.5,9.5,7
67400,833200,0.5,9.5,7
67450,833250,0.5,9.5,7
67500,833300,0.5,9.5,7
