Part.,Interl. Dur.,Interl. Vid. Count,Interl. Low Ar.,Ratio,Low Ar. vid. bfr 2nd,Low Ar. time bfr 2nd,Max GSR 1st,Max GSR 1st Time,Max GSR 2nd,Max GSR 2nd Time,Diff. GSR,Diff. GSR Time
1,959958.333,3.0,2.0,-0.2877,1.0,386750.0,17.22866,180950.0,7.73578,185600.0,-9.492880000000001,4650.0
2,929375.0,3.0,2.0,-0.2877,2.0,623791.667,35.31638,90150.0,42.294340000000005,71200.0,6.977960000000003,-18950.0
3,1237458.333,4.0,2.0,-0.5108,1.0,400125.0,35.23652,204750.0,35.91654,117350.0,0.680019999999999,-87400.0
4,890541.667,3.0,3.0,0.0,3.0,890541.667,29.21244,157600.0,40.61752,216900.0,11.405079999999998,59300.0
5,623791.667,2.0,2.0,0.0,2.0,623791.667,47.88054,76200.0,45.35416,19950.0,-2.526380000000003,-56250.0
6,693208.333,2.0,1.0,-0.4055,0.0,120000.0,12.63846,179150.0,14.466199999999999,231100.0,1.8277399999999986,51950.0
7,998791.666,3.0,1.0,-0.6931,0.0,120000.0,27.1259,216450.0,32.54078,201550.0,5.414879999999997,-14900.0
8,959958.333,3.0,2.0,-0.2877,1.0,386750.0,42.99344,181250.0,35.96546,147150.0,-7.0279799999999994,-34100.0
9,929375.0,3.0,2.0,-0.2877,0.0,120000.0,22.79136,212900.0,38.16664,121700.0,15.37528,-91200.0
10,1769333.333,6.0,4.0,-0.3365,1.0,385125.0,35.59026,232900.0,36.12306,65500.0,0.5328000000000017,-167400.0
11,690708.333,2.0,1.0,-0.4055,1.0,385125.0,29.566860000000002,181300.0,27.63496,193300.0,-1.9319000000000024,12000.0
12,623791.667,2.0,2.0,0.0,2.0,623791.667,33.34366,169000.0,45.17462,205200.0,11.830959999999997,36200.0
13,1265541.666,4.0,2.0,-0.5108,1.0,400125.0,38.88224,187400.0,37.4628,141200.0,-1.4194400000000016,-46200.0
14,386750.0,1.0,1.0,0.0,1.0,386750.0,50.21434,142850.0,50.32993999999999,125750.0,0.11559999999999349,-17100.0
15,693208.333,2.0,1.0,-0.4055,1.0,400125.0,52.95398,124750.0,45.67060000000001,203150.0,-7.283379999999994,78400.0
16,664250.0,2.0,1.0,-0.4055,0.0,120000.0,20.626260000000002,231750.0,29.70094,207200.0,9.074679999999997,-24550.0
17,929375.0,3.0,2.0,-0.2877,0.0,120000.0,39.40618,125600.0,36.134879999999995,218300.0,-3.2713000000000036,92700.0
18,1211125.0,4.0,3.0,-0.2231,1.0,358666.667,34.38912,197600.0,32.83318,118750.0,-1.5559399999999997,-78850.0
19,1225083.333,4.0,3.0,-0.2231,1.0,386750.0,43.923739999999995,203050.0,28.12538,180300.0,-15.798359999999995,-22750.0
20,1489208.333,5.0,3.0,-0.4055,1.0,385125.0,33.27864,157250.0,33.072939999999996,120850.0,-0.20570000000000732,-36400.0
21,959958.333,3.0,2.0,-0.2877,0.0,120000.0,11.90884,68700.0,11.82856,220300.0,-0.08028000000000013,151600.0
22,666875.0,2.0,2.0,0.0,2.0,666875.0,12.699000000000002,119700.0,13.10548,279650.0,0.4064799999999984,159950.0
23,929375.0,3.0,2.0,-0.2877,2.0,623791.667,19.446099999999998,67600.0,17.78066,117200.0,-1.6654399999999967,49600.0
24,1502583.333,5.0,3.0,-0.4055,0.0,120000.0,13.86668,202250.0,14.26102,123300.0,0.3943399999999997,-78950.0
25,1183625.0,4.0,3.0,-0.2231,1.0,386750.0,28.05914,189500.0,19.7657,232450.0,-8.29344,42950.0
26,1197000.0,4.0,3.0,-0.2231,2.0,623791.667,53.22162,145050.0,52.94238,64700.0,-0.2792400000000015,-80350.0
27,998791.666,3.0,1.0,-0.6931,0.0,120000.0,47.5514,122200.0,44.52908,143250.0,-3.0223200000000006,21050.0
28,1463750.0,5.0,4.0,-0.1823,3.0,903916.667,21.29942,114550.0,22.11248,120600.0,0.8130600000000001,6050.0
29,1225083.333,4.0,3.0,-0.2231,0.0,120000.0,66.03858,184450.0,53.22976,119650.0,-12.808819999999997,-64800.0
30,1502583.333,5.0,3.0,-0.4055,0.0,120000.0,6.64384,226350.0,19.03344,122850.0,12.389599999999998,-103500.0
