timepoint,jstime,valence,arousal,video
0,488300,5.0,5.031,8
50,488350,5.0,5.031,8
100,488400,5.0,5.031,8
150,488450,5.0,5.031,8
200,488500,5.0,5.031,8
250,488550,5.0,5.031,8
300,488600,5.0,5.031,8
350,488650,5.0,5.031,8
400,488700,5.0,5.031,8
450,488750,5.0,5.031,8
500,488800,5.0,5.031,8
550,488850,5.0,5.031,8
600,488900,5.0,5.031,8
650,488950,5.0,5.031,8
700,489000,5.0,5.031,8
750,489050,5.0,5.031,8
800,489100,5.0,5.031,8
850,489150,5.0,5.031,8
900,489200,5.0,5.031,8
950,489250,5.0,5.031,8
1000,489300,5.0,5.031,8
1050,489350,5.0,5.031,8
1100,489400,5.0,5.031,8
1150,489450,5.0,5.031,8
1200,489500,5.0,5.031,8
1250,489550,5.0,5.031,8
1300,489600,5.0,5.031,8
1350,489650,5.0,5.031,8
1400,489700,5.0,5.031,8
1450,489750,5.0,5.031,8
1500,489800,5.0,5.031,8
1550,489850,5.0,5.031,8
1600,489900,5.0,5.031,8
1650,489950,5.0,5.031,8
1700,490000,5.0,5.031,8
1750,490050,5.0,5.031,8
1800,490100,5.0,5.031,8
1850,490150,5.0,5.031,8
1900,490200,5.0,5.031,8
1950,490250,5.0,5.031,8
2000,490300,5.0,5.031,8
2050,490350,5.0,5.031,8
2100,490400,5.0,5.031,8
2150,490450,5.0,5.031,8
2200,490500,5.0,5.031,8
2250,490550,5.0,5.031,8
2300,490600,5.0,5.031,8
2350,490650,5.0,5.031,8
2400,490700,5.0,5.031,8
2450,490750,5.0,5.031,8
2500,490800,5.0,5.031,8
2550,490850,5.0,5.031,8
2600,490900,5.0,5.031,8
2650,490950,5.0,5.031,8
2700,491000,5.0,5.031,8
2750,491050,5.0,5.031,8
2800,491100,5.0,5.031,8
2850,491150,5.0,5.031,8
2900,491200,5.0,5.031,8
2950,491250,5.0,5.031,8
3000,491300,5.0,5.031,8
3050,491350,5.0,5.031,8
3100,491400,5.0,5.031,8
3150,491450,5.0,5.031,8
3200,491500,5.0,5.031,8
3250,491550,5.0,5.031,8
3300,491600,5.0,5.031,8
3350,491650,5.0,5.031,8
3400,491700,5.0,5.031,8
3450,491750,5.0,5.031,8
3500,491800,5.0,5.031,8
3550,491850,5.0,5.031,8
3600,491900,5.0,5.031,8
3650,491950,5.0,5.031,8
3700,492000,5.0,5.031,8
3750,492050,5.0,5.031,8
3800,492100,5.0,5.031,8
3850,492150,5.0,5.031,8
3900,492200,5.0,5.031,8
3950,492250,5.0,5.031,8
4000,492300,5.0,5.031,8
4050,492350,5.0,5.031,8
4100,492400,5.0,5.031,8
4150,492450,5.0,5.031,8
4200,492500,5.0,5.031,8
4250,492550,5.0,5.031,8
4300,492600,5.0,5.031,8
4350,492650,5.0,5.031,8
4400,492700,5.0,5.031,8
4450,492750,5.0,5.031,8
4500,492800,5.0,5.031,8
4550,492850,5.0,5.031,8
4600,492900,5.0,5.031,8
4650,492950,5.0,5.031,8
4700,493000,5.0,5.031,8
4750,493050,5.0,5.031,8
4800,493100,5.0,5.031,8
4850,493150,5.0,5.031,8
4900,493200,5.0,5.031,8
4950,493250,5.0,5.031,8
5000,493300,5.0,5.031,8
5050,493350,5.0,5.031,8
5100,493400,5.0,5.031,8
5150,493450,5.0,5.031,8
5200,493500,5.0,5.031,8
5250,493550,5.0,5.03,8
5300,493600,5.0,5.027,8
5350,493650,5.0,5.025,8
5400,493700,5.0,5.019,8
5450,493750,5.0,5.015,8
