timepoint,jstime,valence,arousal,video
47750,269300,5.0,5.0,8
47800,269350,5.0,5.0,8
47850,269400,5.0,5.0,8
47900,269450,5.0,5.0,8
47950,269500,5.0,5.0,8
48000,269550,5.0,5.0,8
48050,269600,5.0,5.0,8
48100,269650,5.0,5.0,8
48150,269700,5.0,5.0,8
48200,269750,5.0,5.0,8
48250,269800,5.0,5.0,8
48300,269850,5.0,5.0,8
48350,269900,5.0,5.0,8
48400,269950,5.0,5.0,8
48450,270000,5.0,5.0,8
48500,270050,5.0,5.0,8
48550,270100,5.0,5.0,8
48600,270150,5.0,5.0,8
48650,270200,5.0,5.0,8
48700,270250,5.0,5.0,8
48750,270300,5.0,5.0,8
48800,270350,5.0,5.0,8
48850,270400,5.0,5.0,8
48900,270450,5.0,5.0,8
48950,270500,5.0,5.0,8
49000,270550,5.0,5.0,8
49050,270600,5.0,5.0,8
49100,270650,5.0,5.0,8
49150,270700,5.0,5.0,8
49200,270750,5.0,5.0,8
49250,270800,5.0,5.0,8
49300,270850,5.0,5.0,8
49350,270900,5.0,5.0,8
49400,270950,5.0,5.0,8
49450,271000,5.0,5.0,8
49500,271050,5.0,5.0,8
49550,271100,5.0,5.0,8
49600,271150,5.0,5.0,8
49650,271200,5.0,5.0,8
49700,271250,5.0,5.0,8
49750,271300,5.0,5.0,8
49800,271350,5.0,5.0,8
49850,271400,5.0,5.0,8
49900,271450,5.0,5.0,8
49950,271500,5.0,5.0,8
50000,271550,5.0,5.0,8
50050,271600,5.0,5.0,8
50100,271650,5.0,5.0,8
50150,271700,5.0,5.0,8
50200,271750,5.0,5.0,8
50250,271800,5.0,5.0,8
50300,271850,5.0,5.0,8
50350,271900,5.0,5.0,8
50400,271950,5.0,5.0,8
50450,272000,5.0,5.0,8
50500,272050,5.0,5.0,8
50550,272100,5.0,5.0,8
50600,272150,5.0,5.0,8
50650,272200,5.0,5.0,8
50700,272250,5.0,5.0,8
50750,272300,5.0,5.0,8
50800,272350,5.0,5.0,8
50850,272400,5.0,5.0,8
50900,272450,5.0,5.0,8
50950,272500,5.0,5.0,8
51000,272550,5.0,5.0,8
51050,272600,5.0,5.0,8
51100,272650,5.0,5.0,8
51150,272700,5.0,5.0,8
51200,272750,5.0,5.0,8
51250,272800,5.0,5.0,8
51300,272850,5.0,5.0,8
51350,272900,5.0,5.0,8
51400,272950,5.0,5.0,8
51450,273000,5.0,5.0,8
51500,273050,5.0,5.0,8
51550,273100,5.0,5.0,8
51600,273150,5.0,5.0,8
51650,273200,5.0,5.0,8
51700,273250,5.0,5.0,8
51750,273300,5.0,5.0,8
51800,273350,5.0,5.0,8
51850,273400,5.0,5.0,8
51900,273450,5.0,5.0,8
51950,273500,5.0,5.0,8
52000,273550,5.0,5.0,8
52050,273600,5.0,5.0,8
52100,273650,5.0,5.0,8
52150,273700,5.0,5.0,8
52200,273750,5.0,5.0,8
52250,273800,5.0,5.0,8
52300,273850,5.0,5.0,8
52350,273900,5.0,5.0,8
52400,273950,5.0,5.0,8
52450,274000,5.0,5.0,8
52500,274050,5.0,5.0,8
