Participant,InterludeDuration,Interlude Video Count,Interlude Low Arousal,LowArousalRatioLog,Low Ar. vid. bfr 2nd,Low Ar. time bfr 2nd
1,959959.0,3.0,2.0,-0.2877,1.0,386750.0
2,929376.0,3.0,2.0,-0.2877,2.0,623791.667
3,1237459.0,4.0,2.0,-0.5108,1.0,400125.0
4,890543.0,3.0,3.0,0.0,3.0,890543.0
5,623793.0,2.0,2.0,0.0,2.0,623793.0
6,693209.0,2.0,1.0,-0.4055,0.0,120000.0
7,998792.0,3.0,1.0,-0.6931,0.0,120000.0
8,959959.0,3.0,2.0,-0.2877,1.0,386750.0
9,929376.0,3.0,2.0,-0.2877,0.0,120000.0
10,1769334.0,6.0,4.0,-0.3365,1.0,385125.0
11,690709.0,2.0,1.0,-0.4055,1.0,385125.0
12,623793.0,2.0,2.0,0.0,2.0,623793.0
13,1265542.0,4.0,2.0,-0.5108,1.0,400125.0
14,386751.0,1.0,1.0,0.0,1.0,386751.0
15,693209.0,2.0,1.0,-0.4055,1.0,400125.0
16,664251.0,2.0,1.0,-0.4055,0.0,120000.0
17,929376.0,3.0,2.0,-0.2877,0.0,120000.0
18,1211126.0,4.0,3.0,-0.2231,1.0,358666.667
19,1225084.0,4.0,3.0,-0.2231,1.0,386750.0
20,1489209.0,5.0,3.0,-0.4055,1.0,385125.0
21,959959.0,3.0,2.0,-0.2877,0.0,120000.0
22,666876.0,2.0,2.0,0.0,2.0,666876.0
23,929376.0,3.0,2.0,-0.2877,2.0,623791.667
24,1502584.0,5.0,3.0,-0.4055,0.0,120000.0
25,1183626.0,4.0,3.0,-0.2231,1.0,386750.0
26,1197001.0,4.0,3.0,-0.2231,2.0,623791.667
27,998792.0,3.0,1.0,-0.6931,0.0,120000.0
28,1463751.0,5.0,4.0,-0.1823,3.0,903916.667
29,1225084.0,4.0,3.0,-0.2231,0.0,120000.0
30,1502584.0,5.0,3.0,-0.4055,0.0,120000.0
